Course number	Course name	Units	Department	Description	Instructors	Days	Start time	End time	Location
24-780	Engineering Computation	12.0	Mechanical Engineering	This course covers the practical programming and computational skills necessary for engineers.  These include: (1) programming in C++, (2) visualization using OpenGL, (3) basic data structures, and (4) basic algorithms.  The course covers computational techniques required for solving common engineering problems and background algorithms and data structures used in modern Computer-Aided Design, Computer-Aided Manufacturing, and Computer-Aided Engineering tools.  The course also offers intensive hands-on computational assignments for practice of common applications.	Soji Yamakawa	1<>3	1630	1820	SH 125
24-781	Engineering Computation Project	None	Mechanical Engineering	24-781 This project course is the first section of the two-semester sequence of Computational Engineering Projects. The course provides the students with hands-on problem-solving experience by using commercial computational tools and/or developing their own custom software.  Each student, individually or along with other students, will work on a project under the guidance of Carnegie Mellon faculty members and/or senior engineers from industry.  Students may select a project topic from those presented by advising faculty members and/or industry engineers.  Alternatively, a student may propose and work on his/her own project topic if he/she can identify a sponsoring faculty member or industry engineer.	Kenji Shimada	NA	NA	NA	NA
24-785	Engineering Optimization	12.0	Mechanical Engineering	Engineering Optimization  Intermittent: 12 units   This course introduces students to 1) the process of formally representing an engineering design or decision-making problem as a mathematical problem and 2) the theory and numerical methods needed to understand and solve the mathematical problem. Theoretical topics focus on constrained nonlinear programming, including necessary and sufficient conditions for local and global optimality and numerical methods for solving nonlinear optimization problems. Additional topics such as linear programming, mixed integer programming, global optimization, and stochastic methods are briefly introduced. Model construction and interpretation are explored with metamodeling and model reformulation techniques, study of model boundedness, constraint activity, and sensitivity analysis. Matlab is used in homework assignments for visualization and algorithm development, and students apply theory and methods to a topic of interest in a course project. Fluency with multivariable calculus, linear algebra, and computer programming is expected. Students who are unfamiliar with Matlab are expected to learn independently using available tutorials and examples provided.   4 hrs.lecture  Prerequisites: None	Aaron Johnson	1<>3	1330	1520	WEH 5409
24-787	Artificial Intelligence and Machine Learning for Engineering Design	12.0	Mechanical Engineering	24-787 Artificial Intelligence and Machine Learning for Engineering Design  This course will cover fundamental artificial intelligence and machine learning techniques useful for developing intelligent software tools to support engineering design and other engineering activities. The computational techniques covered include: search, constraint satisfaction, probability, data mining, pattern recognition, neural networks, optimization, and evolutionary computation. The course will examine both the theory behind these techniques and the issues related to their efficient implementation. The application of the techniques to engineering tasks, such as design representation and automation will be explored. In addition to regular homework sets, the course includes individual paper presentations and a substantial term project in which the student will develop an intelligent software tool to support an engineering task. A basic working knowledge of a scientific programming language (C/C++, Java, Matlab) is highly recommended.  4 hrs. lec.  Prerequisites: None	Levent Kara	1<>3	1130	1320	MM A14
24-790	Thesis Research	None	Mechanical Engineering	This course is designed to give students enrolled in the Ph.D. program an opportunity to conduct extensive research over the course of their studies. Variable hrs.	Chris Hertz	NA	NA	NA	NA
24-791	Graduate Seminar I	0.0	Mechanical Engineering	Graduate seminar speakers include faculty, students, and invited guests from industry and academia. Through seminars, students widen their perspectives and become more aware of other topics in mechanical engineering	Maarten De Boer<>Chris Hertz	5	1230	0220	PH 100
24-793	Supervised Reading	None	Mechanical Engineering	This independent study is designed to give students an opportunity to explore pertinent subjects through faculty directed reading. Variable hrs.   Prerequisite: Completion of Supervised Reading form acquired by your graduate MechE advisor; which includes permission of the instructor.	Chris Hertz	NA	NA	NA	NA
24-794	Master of Science Project	None	Mechanical Engineering	This course is designed to be a training opportunity in engineering research and associated professional activity. Content includes a series of investigations under the students initiative culminating in comprehensive reports, with special emphasis on orderly presentation and effective English composition for Master of Science candidates. Variable hrs.    Prerequisite: permission of the instructor.	Chris Hertz	NA	NA	NA	NA
24-795	PhD Internship in Teaching Counterpoint	None	Mechanical Engineering	Missing Course Description - please contact the teaching department.	Chris Hertz	NA	NA	NA	NA
24-797	Thesis Research	None	Mechanical Engineering	This course is designed to give students enrolled in the Ph.D. program an opportunity to conduct extensive research over the course of their studies. Variable hrs.	Chris Hertz	NA	NA	NA	NA
24-799	Practicum in Mechancal Engineering	None	Mechanical Engineering	The Department of Mechanical Engineering at Carnegie Mellon considers experiential learning opportunities important educational options for its graduate students. One such option is an internship, normally completed during the summer. If a student receives an internship, the Mechanical Engineering Department will add the internship course to the students schedule, and the student will be assessed tuition for 3 units. Upon completion of the internship, students must submit a 2-3 page report with supervisor signature detailing the work experience and including how the internship was related to Mechanical Engineering. After the report has been reviewed and approved, a letter grade will be assigned and these 3 units will count towards degree requirements. International students interested in registering for the practicum must also be authorized for Curricular Practical Training (CPT).  Further information is available on the Office of International Education?s website: www.cmu.edu/oie.	Chris Hertz	NA	NA	NA	NA
24-892	Bipedal Locomotion Seminar	0.0	Mechanical Engineering	The CMU Bipedal Locomotion Seminar is a weekly meeting amongst students  and professors who study bipedal locomotion using a variety of approaches.  Each week, one graduate student participant gives a presentation on a topic of  their choosing related to their research. We encourage discussion and  interaction, especially from fellow students. Each meeting is intended to work  like a small, informal conference discussion or workshop, providing students  with new perspectives on their projects, practice presenting and answering  questions, and a forum for meeting colleagues. We encourage participation  from all interested students and faculty, including members of Carnegie Mellon,  The University of Pittsburgh, and Disney Research Pittsburgh. Please join the waitlist and contact one of the instructors for admission.	Steve Collins	5	1430	1550	WEH 5302
27-050	Study Abroad	0.0	Materials Science & Engineering	None	Instructor TBA	NA	NA	NA	NA
27-100	Engineering the Materials of the Future	12.0	Materials Science & Engineering	Materials form the foundation for all engineering applications. Advances in materials and their processing are driving all technologies, including the broad areas of nano-, bio-, energy, and electronic (information) technology. Performance requirements for future applications require that engineers continue to design both new structures and new processing methods in order to engineer materials having improved properties. Applications such as optical communication, tissue and bone replacement, fuel cells, and information storage, to name a few, exemplify areas where new materials are required to realize many of the envisioned future technologies. This course provides an introduction to how science and engineering can be exploited to design materials for many applications. The principles behind the design and exploitation of metals, ceramics, polymers, and composites are presented using examples from everyday life, as well as from existing, new, and future technologies. A series of laboratory experiments are used as a hands-on approach to illustrating modern practices used in the processing and characterization of materials and for understanding and improving materials properties.	Noa Marom	1<>3<>5	1330	1420	SH 125
27-111	Academic Variant	None	Materials Science & Engineering	TBA	Gregory Rohrer	NA	NA	NA	NA
27-201	Structure of Materials	9.0	Materials Science & Engineering	This course covers the fundamentals of crystallography and diffraction. Topics covered include: the periodic table of the elements, bonding in different classes of materials, Bravais lattices, unit cells, directions and planes, crystal geometry computations, direct and reciprocal space, symmetry operations, point and space groups, nature of x-rays, scattering in periodic solids, Braggs law, the structure factor, and the interpretation of experimental diffraction patterns. 24 crystal structure types of importance to various branches of materials science and engineering will be introduced.  Amorphouse materials, composites and polymers are also introduced.  This course includes both lectures and laboratory exercises.	Vincent Sokalski	2<>4	0830	1020	WEH 5403
27-210	TBA	6.0	Materials Science & Engineering	This course approaches professional skill holistically, having materials science and engineering students understand that being a professional includes having competencies and responsibilities that are personal, organizational and professional.	Robert Heard	4	1130	1320	DH A303
27-211	Structure of Materials (Minor Option)	6.0	Materials Science & Engineering	This course is identical to 27-201, but without the 3-unit lab component.	Vincent Sokalski	2<>4	0830	1020	WEH 5403
27-215	Thermodynamics of Materials	12.0	Materials Science & Engineering	The first half of the course will focus on the laws of thermodynamics and the inter-relations between heat, work and energy.  The concept of an equilibrium state of a system will be introduced and conditions which must be satisfied for a system to be at equilibrium will be established and discussed and the concepts of activity and chemical potential introduced.   The second half of the course will focus on chemical reactions, liquid and solid solutions, and relationships between the thermodynamics of solutions and binary phase diagrams.	Warren Garrison	1<>3	1430	1620	WEH 5403
27-301	Microstructure and Properties I	9.0	Materials Science & Engineering	The objective of this courses and its companion 27-302 is to convey some of the essential concepts in materials science and engineering that relate material properties (strength, magnetism, thermal expansion) to microstructure (crystal structure, dislocations structure, grain structure, precipitate structure, composite structure) in single phase materials. The relationships will be illustrated with examples of both idealized and technological materials. The course will draw upon many aspects of materials science such as defects, phase transformations etc.  The course includes both lectures and laboratory exercises.	Marc Degraef	1<>3<>5	0930	1120	WEH 5415
27-390	Internship	None	Materials Science & Engineering	None	Robert Heard	NA	NA	NA	NA
27-401	MSE Capstone Course I	12.0	Materials Science & Engineering	This capstone course introduces the student to the methodology used for  projects and team based research as practiced in the Materials Science and Engineering workplace. This is a project course that requires the knowledge relationship among processing, structure, and performance to address an important contemporary problem in materials science and engineering. Student taking this course will work in a team environment to complete a design project to  resolve scientific and engineering issues relating to materials. Topics will be selected from a list or material problems or research concepts generated from industrial or academia.     All research is expected to be original, and proper scientific ethics, and methodologies are enforced for the research and reports. Team participation and communication is an important issue and the presentation and reports must be technical and professional in structure. The course requires full project management and accounting for the research being conducted.  On the topic selected, the work product is a report that provides clear definition of the problem being addressed, a methodology for the research, literature review, experimentation and reporting of findings, conclusions based on findings, and recommendations for future work.	Robert Heard	1<>3	1330	1520	WEH 5415
27-402	MSE Capstone Course II	12.0	Materials Science & Engineering	This is the spring extension of 27-401. Teams or team members that have the industry agreement and that wish to continue their research project  may do so in this course. As with 27-401, all research is expected to be original, and proper scientific ethics, and methodologies are enforced for the research and reports. Team participation and communication is an important issue and the presentation and reports must be technical and professional in structure.  The course requires full project management and accounting for the research being conducted.  On the topic selected, the work product is a report that provides clear definition of the problem being addressed, a methodology for the research, literature review, experimentation and reporting of findings, conclusions based on findings, and recommendations for future work. Prerequisites:27-401	Instructor TBA	NA	NA	NA	NA
27-411	Engineering Biomaterials	9.0	Materials Science & Engineering	This course will cover structure-processing-property relationships in biomaterials for use in medicine. This course will focus on a variety of materials including natural biopolymers, synthetic polymers, and soft materials with additional treatment of metals and ceramics. Topics include considerations in molecular design of biomaterials, understanding cellular aspects of tissue-biomaterials interactions, and the application of bulk and surface properties in the design of medical devices. This course will discuss practical applications of these materials in drug delivery, tissue engineering, biosensors, and other biomedical technologies. Cross-listed with 27-411 Pre-Req: 06-221, 24-221, 27-215 or equivalent; Junior or Senior in CIT or permission of instructor.	Christopher Bettinger	1<>3	1130	1320	MM 103
27-421	Processing Design	6.0	Materials Science & Engineering	In this course, the concepts of materials and process design are developed, integrating the relevant fundamental phenomena in a case study of a process design.  The course includes basic science and engineering as well as economic and environmental considerations.  The case study is on environmentally acceptable sustainable steelmaking.  Other case studies in materials processing could be used.	Petrus Pistorius	2<>4	0930	1120	PH A18A
27-433	Dielectric, Magnetic, Superconducting Properties of Materials & Related Devices	9.0	Materials Science & Engineering	Fall odd years: 9 units  This is Part II of a two-part course sequence (Part I is 27-432)  concerned with the electrical, dielectric, magnetic and superconducting properties of materials.  Students taking Part II will develop an in-depth understanding, based on the modern theories of solids, of the dielectric, magnetic and superconducting properties of materials and the principles of operation of selected products and devices made from these materials. Topics will include relationships between chemical bonds and energy bands in dielectric and magnetic materials; polarization mechanisms in materials and their relationship to capacitance, piezeoelectricity, ferroelectricity, and pyroelectricity;  magnetization and its classification among materials; magnetic domains; soft and hard magnets; and the origin, theory and application of superconductivity.  Examples of commercial products will be introduced to demonstrate the application of the information presented in the text and reference books and class presentations.	Robert Davis	2<>4	0900	1020	SH 214
27-454	Supervised Reading	None	Materials Science & Engineering	This course provides the opportunity for a detailed study of the literature on some subject under the guidance of a faculty member, usually but not necessarily in preparation for the Capstone Course, 27-401/402.	Gregory Rohrer	NA	NA	NA	NA
27-499	Professional Development III	1.0	Materials Science & Engineering	This is a course that is designed to teach engineering business and professional skills to the MSE students.  It is attended by sophomores, juniors and seniors and the courses Professional Topics I, II and III are given once per year on a three year cycle.    Year 1:  Work Place Skills, Leadership Skills and Teams  Year 2:  Project Management  Year 3:  Ethics, Business Planning, Lifetime Learning    Although the course is not specifically designed as metals, polymers, ceramics and composites, real world problems are used for examples and discussions.  Assignments, when used, (for example, in project management or business planning) can be case studies or typical assignments a materials scientist may encounter during his/her employment.	Robert Heard	2	1230	0120	WEH 4709
27-501	Invention & Innovation for Materials Intensive Technologies Part 1	4.5	Materials Science & Engineering	Two 4.5 unit classes that can be taken in sequence or as stand-alone minis.  Courses will be cross-listed between EPP and MSE.   This course is intended to instill a sense of how technologies are conceived and brought to market. The students will be exposed to a variety of formalized invention and innovation processes/concepts and will be asked to complete projects that will pull from the full range of their engineering training. It is intended for seniors who are eager to creatively apply their learned knowledge skills, and who are interested in invention, innovation, and entrepreneurship.  The first half (part 1 (27-501), mini 1) will focus on the process of invention for devices and technologies that are enabled by materials functionality. This will start by providing historical context and addressing the questions What is invention? This will be followed by an assessment of various systematic methods by which the process of invention is practiced, with a specific focus on materials intensive devices and products.  The second half of the course (part 2 (27-502) mini 2) will examine innovation theory in the context of materials intensive technologies. Specifically, the concepts of incumbency, disruption, value chain, supply chain, funding models and paths to market will be addressed. In this class, significant time will be dedicated to covering the impact of international market and technology development.	Jay Whitacre<>Robert Heard	1<>3	1130	2450	WEH 4623
27-502	Invention and Innovation for Materials Intensive Technologies Part 2	4.5	Materials Science & Engineering	Two 4.5 unit classes that can be taken in sequence or as stand-alone minis.  Courses will be cross-listed between EPP and MSE.   This course is intended to instill a sense of how technologies are conceived and brought to market. The students will be exposed to a variety of formalized invention and innovation processes/concepts and will be asked to complete projects that will pull from the full range of their engineering training. It is intended for seniors who are eager to creatively apply their learned knowledge skills, and who are interested in invention, innovation, and entrepreneurship.  The first half (part 1 (27-501), mini 1) will focus on the process of invention for devices and technologies that are enabled by materials functionality. This will start by providing historical context and addressing the questions What is invention? This will be followed by an assessment of various systematic methods by which the process of invention is practiced, with a specific focus on materials intensive devices and products.  The second half of the course (part 2 (27-502) mini 2) will examine innovation theory in the context of materials intensive technologies. Specifically, the concepts of incumbency, disruption, value chain, supply chain, funding models and paths to market will be addressed. In this class, significant time will be dedicated to covering the impact of international market and technology development.	Jay Whitacre<>Robert Heard	1<>3	1130	2450	WEH 4623
27-514	Applied Nanoscience and Nanotechno	9.0	Materials Science & Engineering	This course will develop the understanding required for materials science and engineering for additive manufacturing.  The emphasis will be on powder bed machines for printing metal parts, reflecting the research emphasis at CMU.  The full scope of methods in use, however, will also be covered.  The topics are intended to enable students to understand which materials are feasible for 3D printing.  Accordingly, high power density welding methods such as electron beam and laser welding will be discussed, along with the characteristic defects.  Since metal powders are a key input, powder-making methods will be discussed.  Components once printed must satisfy various property requirements hence microstructure-property relationships will be discussed because the microstructures that emerge from the inherently high cooling rates differ strongly from conventional materials.  Defect structures are important to performance and therefore inspection.  Porosity is a particularly important feature of 3D printed metals and its occurrence depends strongly on the input materials and on the processing conditions.  The impact of data science on this area offers many possibilities such as the automatic recognition of materials origin and history.  Finally the context for the course will be discussed, i.e. the rapidly growing penetration of the technology and its anticipated impact on manufacturing.	Itzhaq Cohen-Karni	2<>4	1200	0120	WEH 5403
27-514	Applied Nanoscience and Nanotechno	9.0	Materials Science & Engineering	This course will develop the understanding required for materials science and engineering for additive manufacturing.  The emphasis will be on powder bed machines for printing metal parts, reflecting the research emphasis at CMU.  The full scope of methods in use, however, will also be covered.  The topics are intended to enable students to understand which materials are feasible for 3D printing.  Accordingly, high power density welding methods such as electron beam and laser welding will be discussed, along with the characteristic defects.  Since metal powders are a key input, powder-making methods will be discussed.  Components once printed must satisfy various property requirements hence microstructure-property relationships will be discussed because the microstructures that emerge from the inherently high cooling rates differ strongly from conventional materials.  Defect structures are important to performance and therefore inspection.  Porosity is a particularly important feature of 3D printed metals and its occurrence depends strongly on the input materials and on the processing conditions.  The impact of data science on this area offers many possibilities such as the automatic recognition of materials origin and history.  Finally the context for the course will be discussed, i.e. the rapidly growing penetration of the technology and its anticipated impact on manufacturing.	Anthony Rollett	2<>4	1330	1450	WEH 5415
27-519	Computational Thermodynamics	9.0	Materials Science & Engineering	Computational thermodynamics is a powerful tool of a Materials Engineer.  We will examine how thermodynamic simulation software outputs an equilibrium calculation from a list of input conditions.  This requires a description of Gibbs energy minimization calculations, Gibbs energy models, and the construction of these models from thermodynamic data.  At the end of the class students should be able to use thermodynamic simulation software to solve engineering problems while recognizing its limitations.    This class is for upper-level undergraduates and graduate students interested in these computational tools.	Bryan Webler	1<>3	0830	1020	GHC 4102
27-533	Principles of Growth and Processing of Semiconductors	6.0	Materials Science & Engineering	Development of a fundamental understanding of material principles governing the growth and processing of semiconductors. Techniques to grow and characterize bulk crystals and epitaxial layers are considered. The processing of semiconductors into devices and the defects introduced thereby are discussed. The roles of growth- and processing-induced defects in determining long term reliability of devices are examined.	Marek Skowronski	2<>4	0930	1120	PH A18C
27-555	Materials Project I	None	Materials Science & Engineering	This course is designed to give experience in individualized research under the guidance of a faculty member.  The topic is selected by mutual agreement, and will give the student a chance to study the literature, design experiments, interpret the results and present the conclusions orally and in writing.	Gregory Rohrer	NA	NA	NA	NA
27-556	Materials Project II	None	Materials Science & Engineering	Second semester of Materials Project.  This course is designed to give experience in individualized research under the guidance of a faculty member.  The topic is selected by mutual agreement, and will give the student a chance to study the literature, design experiments, interpret the results and present the conclusions orally and in writing.	Gregory Rohrer	NA	NA	NA	NA
27-588	Polymer Physics and Morphology	9.0	Materials Science & Engineering	This course introduces the fundamental concepts necessary to understand and determine the structure and properties of polymers in the solid state. The structure of polymers will be discussed with focus on the amorphous, crystalline and liquid-crystalline state. One aim is to provide a student intuition about the organization of polymer molecules in the solid state based on the polymers chemical structure. Particular attention will be given to scattering techniques as a tool to determine polymer structures in solution and the solid state. The glass transition in amorphous polymers as well as the morphology and kinetics of crystal formation in semi-crystalline polymers will be discussed in detail. The second part of the course will focus on polymer multicomponent materials. Basic concepts of lattice models will be introduced and applied to predict the phase behavior of polymer blends.	Michael Bockstaller	1<>3<>5	1530	1620	HH B103
27-699	Professional Skills in Materials Science and Engineering	6.0	Materials Science & Engineering	This course is intended for students in the masters program in Materials Science and Engineering.  The course will expose students to important issues that materials scientists and engineers face when they enter the workforce.   The course focuses on professional skills for materials scientists and engineers, covering communication skills, ethics and responsible conduct of research, and evaluating technical literature.  The course will end with discussions on how materials science affects the global economy.  Course activities will include in-class exercises and assignments based on case studies.	Neetha Khan	2<>4	0930	1120	BH 140C
27-709	Engineering Biomaterials	12.0	Materials Science & Engineering	This course will cover structure-processing-property relationships in biomaterials for use in medicine. This course will focus on a variety of materials including natural biopolymers, synthetic polymers, and soft materials with additional treatment of metals and ceramics. Topics include considerations in molecular design of biomaterials, understanding cellular aspects of tissue-biomaterials interactions, and the application of bulk and surface properties in the design of medical devices. This course will discuss practical applications of these materials in drug delivery, tissue engineering, biosensors, and other biomedical technologies. This course is a project-based option for graduate students that is taught concurrently with 42-411. Pre-req: Graduate student in CIT or permission of instructor.	Christopher Bettinger	1<>3	1130	1320	MM 103
27-718	Soft Materials	12.0	Materials Science & Engineering	The emphasis in this course will be on the emerging unifying physical principles that explain the  macroscopic properties of a wide variety of soft materials, e.g., colloids, liquid crystals,  surfactants, polymers, and biological structures. At the end of the course, students should  understand the concepts, experimental techniques, and open questions in the field. The course is  interdisciplinary, and it is expected that enrollment will cover a wide spectrum of students.  Therefore, the essential concepts will be taught as necessary.    Prerequisites: Graduate standing or permission of instructor.	Mohammad Islam	1<>3	1130	1320	PH A19
27-719	Computational Thermodynamics	12.0	Materials Science & Engineering	Computational thermodynamics is a powerful tool of a Materials Engineer.  We will examine how thermodynamic simulation software outputs an equilibrium calculation from a list of input conditions.  This requires a description of Gibbs energy minimization calculations, Gibbs energy models, and the construction of these models from thermodynamic data.  At the end of the class students should be able to use thermodynamic simulation software to solve engineering problems while recognizing its limitations.    This class is for graduate students interested in these computational tools.	Bryan Webler	1<>3	0830	1020	GHC 4102
27-721	Processing Design	6.0	Materials Science & Engineering	In this course, the concepts of materials and process design are developed, integrating the relevant fundamental phenomena in a case study of a process design.  The course includes basic science and engineering as well as economic and environmental considerations.  The case study is on environmentally acceptable sustainable steelmaking.  Other case studies in materials processing could be used.	Petrus Pistorius	2<>4	0930	1120	PH A18A
27-728	Materials for Future Energy Systems	6.0	Materials Science & Engineering	This course addresses the connection between materials and technology for several classes of future energy systems that produce, store, and/or transfer energy. Examples of materials and systems include: (I) semiconducting materials used in the photochemical generation of hydrogen, (II) ionic and electronic conducting oxides used in solid oxide fuel cells, (III) superconducting materials used in energy transmission, generation, and storage, and (IV) degenerate semiconductors used for thermoelectric energy converters. For the systems covered in a given mini, important performance metrics will be presented and related to fundamental materials properties. Then, the underlying structure, thermodynamic, and kinetic processes that influence materials properties will be discussed, in specific relation to optimizing performance. Finally, the selection criteria used for the current versions of such technologies will be presented along with the materials challenges facing future energy systems.	Paul Salvador	1<>3	1330	1520	SH 214
27-729	Solid State Devices for Energy Conversion	6.0	Materials Science & Engineering	Intensive research efforts have yielded promising new materials approaches to  alternative energy conversion technologies, such as solar cells or photovoltaics; thermoelectric materials, which convert waste heat to electricity; metal/semiconductor superlattices for thermionic energy conversion; and fuel cells.  At the same time, notable advances have been made in devices that substantially enhance our energy efficiency: e.g., chemical sensors and light-emitting diodes for solid-state lighting. In all of these devices, interfaces between dissimilar materials often govern and/or limit the behavior.  In addition to the basic structures and operating principles, this course will cover practical materials interface issues, such as electrical transport, thermal stability, contact resistance, and bandgap engineering, that significantly affect the performance of a variety of energy conversion and energy-saving devices.	Lisa Porter	1<>3	1330	1520	SH 214
27-733	Principles of Growth and Processing of Semiconductors	6.0	Materials Science & Engineering	Course is intended for first-year or second-year graduate students and is co-taught with undergraduate course 27-533. The scope of both courses is quite similar (see description of 27-533) with topics covered in more depth at graduate  level.  Classroom instruction is supplemented with additional reading, projects, and homework assignments.    prerequisite: permission of the instructor.	Marek Skowronski	2<>4	0930	1120	PH A18C
27-755	Materials Problems	None	Materials Science & Engineering	Individual research problems, including laboratory, theoretical, library or design work followed by a written or oral report.	Gregory Rohrer	NA	NA	NA	NA
27-756	Masters Project	None	Materials Science & Engineering	Individual research project, including laboratory, theroetical, library or design work followed by a written or oral report on the work accomplished.	Gregory Rohrer	NA	NA	NA	NA
27-765	Additive Manufacturing and Materials	12.0	Materials Science & Engineering	Metals are fundamental materials of our civilization, used in an extremely large number of engineering applications.  None of the most widely used metals are thermodynamically stable as metals under the conditions in which they are used.  Consideration of how  metals react in their service environments are critical for ensuring successful performance.  In this class we will examine reactions at near-ambient temperature in the presence of water (corrosion) and at high temperatures in the presence of oxygen (oxidation).  While fundamentally the same (the metal transforms to a stable oxide), the mechanism of these reactions are different.  The applicability of this class covers a wide range of fields: structural steels, superalloys for power generation and transportation, stainless steel interconnects in fuel cells and batteries, biocompatibility of implants, to name a few.  At the end of the class, students should be able to identify relevant thermodynamic and kinetic phenomena, describe the changes to microstructure and properties, and select/design appropriate materials for service in a variety of environments.	Anthony Rollett	2<>4	1330	1520	WEH 5415
27-765	Additive Manufacturing and Materials	12.0	Materials Science & Engineering	Metals are fundamental materials of our civilization, used in an extremely large number of engineering applications.  None of the most widely used metals are thermodynamically stable as metals under the conditions in which they are used.  Consideration of how  metals react in their service environments are critical for ensuring successful performance.  In this class we will examine reactions at near-ambient temperature in the presence of water (corrosion) and at high temperatures in the presence of oxygen (oxidation).  While fundamentally the same (the metal transforms to a stable oxide), the mechanism of these reactions are different.  The applicability of this class covers a wide range of fields: structural steels, superalloys for power generation and transportation, stainless steel interconnects in fuel cells and batteries, biocompatibility of implants, to name a few.  At the end of the class, students should be able to identify relevant thermodynamic and kinetic phenomena, describe the changes to microstructure and properties, and select/design appropriate materials for service in a variety of environments.	Itzhaq Cohen-Karni	2<>4	1200	0120	WEH 5403
27-766	Diffusion in Materials	6.0	Materials Science & Engineering	This course is designed to allow the student to become familiar with the fundamental principles diffusion in solid materials. The course will include the treatment of diffusion from an atomic scale to micro-structural scales in metals, ceramics, glasses and polymers.   In addition, the student will develop skills and methodologies necessary to apply mathematical methods to solve differential equations of relevance to diffusion problems including separation of variables, Laplace transforms ad Greens functions. An introduction will be given to the application of numerical solutions.    Where appropriate, examples will be taken from problems related to the design of components and the processing and performance of materials.	Elizabeth Holm	2<>4	1530	1720	DH 1112
27-774	Graduate Seminar	0.0	Materials Science & Engineering	The purpose of this course is to help students develop oral communication skills and, for more advanced students, to exchange information on the progress of their current research. Each week, a student delivers a seminar on recent articles or, preferably, on his or her own research. The audience consists of other graduate students and faculty who provide feedback on the quality of the presentation, along with suggestions for improvement. This course is required of all full-time graduate students in each semester for which they are registered. 1 hr. lec.	Paul Salvador	5	1130	1320	DH 2210
27-775	Thesis	None	Materials Science & Engineering	This course is designed to give students enrolled in the Ph.D. program an opportunity to conduct extensive research over the course of their studies. Variable hrs.	Gregory Rohrer	NA	NA	NA	NA
27-788	Defects in Materials	6.0	Materials Science & Engineering	This course addresses the fundamental properties of defects in crystalline solids, as well as their effects on properties and behavior of materials. Primary attention is devoted to point and line defects. Somewhat less comprehensive coverage is given to extended defects, including grain boundaries, interphase boundaries and surfaces. 4 hrs. lec.	Gregory Rohrer	2<>4	1530	1720	DH 1112
27-790	Surface Engineering: Concepts, Methods, and Applications	6.0	Materials Science & Engineering	In this course we follow up on the course Ferroics and Multiferroics  (Special Topics Spring 2015) by considering the interaction between and  among ferroic materials.  We start by discussing symmetry breaking,  order parameters, topological defects, domains, domain walls and  switching of domains in the ferroic materials. Then we investigate  MagnetoElectric Materials , Shape memory materials and magnetic shape  memory materials.  Other coupled phenomena will be introduced and  students will be asked to present possible applications based on them.    Throughout the emphasis will be on the role that symmetry breaking plays  in the emerging properties and functionalities of materials.  The course  requires a graduate knowledge of Crystallography, Thermodynamics and   Phase Transformations. architecture; and tribological coatings on wear parts and cutting tools for machining and mining. The course will conclude with a Quo Vadis discussion of emerging topics, including 3D printing and smart multi-functional coatings.	Aharon Inspektor	2<>4	1630	1820	WEH 6423
27-796	Structure of Materials	6.0	Materials Science & Engineering	The skills and ideas necessary to understand the atomic structure of crystalline materials are presented. The objective is for the student to be able to describe crystal structures based on their symmetry (Bravais lattices, point groups and space groups)as well as packing configurations and to understand how diffraction is used to experimentally probe crystal structures.	Michael Mchenry	1<>3	0830	1020	PH A18C
27-797	Bonding of Materials	6.0	Materials Science & Engineering	Models for cohesive forces in crystals are reviewed; both quantitative and phenomenological descriptions of secondary, ionic, metallic, and covalent bonds are discussed.  A band structure language is developed starting from free electron and LCAO models of metals and covalently bonded crystals, respectively.    4 hrs lecture	Marek Skowronski	1<>3	0830	1020	PH A18C
27-798	Thermodynamics I	6.0	Materials Science & Engineering	The laws, concepts, and definitions of classical thermodynamics as well as selected relationships that matter exhibits will be covered and applied to gas, liquid and crystalline systems. Concepts and classifications of thermodynamic systems, variables and relationships will be presented and discussed. General criteria and conditions for equilibrium will be developed and applied. The basic concepts of statistical thermodynamics will be introduced and applied to the interpretation of entropy. Phase equilibria of unary systems and the nature of real gases will be explored.	David Laughlin	1<>3	1630	1820	HH B103
27-799	Thermodynamics II	6.0	Materials Science & Engineering	The course will apply thermodynamic fundamentals covered in Thermodynamics I (27-798) to multi-component materials systems. The course will also cover equilibrium phase diagrams (binary and ternary), predominance diagrams, chemical reactions, thermodynamics of surfaces and electrochemistry.	Petrus Pistorius	1<>3	1630	1820	HH B103
27-995	Internship	None	Materials Science & Engineering	None	Gregory Rohrer	NA	NA	NA	NA
32-100	Naval Laboratory	3.0	Naval Science - ROTC	Military drill, physical fitness, and leadership seminars.	William Breitfelder	1	0700	0750	GHC 4401
32-101	Introduction to Naval Science	6.0	Naval Science - ROTC	A general introduction to the naval profession and to concepts of Seapower. Instruction emphasizes the mission, organization, and warfare components of the Navy and Marine Corps. Included is an overview of officer and enlisted ranks and rates, training and education, and career patterns. The course also covers naval courtesy and customs, military justice, leadership, and nomenclature. This course exposes the student to the professional competencies required to become a naval officer.	Anthony Capotosto	2<>4	0730	0850	FRB ROTC
32-200	Naval Laboratory	3.0	Naval Science - ROTC	Military drill, physical fitness, and leadership seminars.	William Breitfelder	1	0700	0750	GHC 4401
