Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
Jia Zhang	0	13.3	4.39	4.03	4.18	4.18	4.32	4.2	4.58	4.1	4.01	23
"Berntsen, K."	0	13.34	4.4	3.68	3.83	4.1	4.15	3.96	4.3	3.96	3.82	23
Karen Berntsen	0	13.34	4.4	3.68	3.83	4.1	4.15	3.96	4.3	3.96	3.82	23
James Morris	0	10.9	4.08	3.52	3.67	3.86	3.99	3.8	4.36	3.78	3.68	23
Michael Mchenry	0	10.49	3.7	3.46	3.54	3.24	3.73	3.31	4.17	3.26	3.29	23
"Mchenry, M."	0	10.49	3.7	3.46	3.54	3.24	3.73	3.31	4.17	3.26	3.29	23
"Kostyniak, S."	0	4.27	4.8	4.49	4.61	4.8	4.86	4.84	4.91	4.84	4.8	22
Stephen Kostyniak	0	4.27	4.8	4.49	4.61	4.8	4.86	4.84	4.91	4.84	4.8	22
Lisa Tetrault	0	7.88	4.81	4.65	4.76	4.5	4.88	4.78	4.82	4.79	4.77	22
"Nugent, R."	0	8.76	4.72	4.75	4.75	4.67	4.77	4.82	4.76	4.82	4.74	22
Rebecca Nugent	0	8.76	4.72	4.75	4.75	4.67	4.77	4.82	4.76	4.82	4.74	22
Andrew Smith	0	9.55	4.75	4.43	4.54	4.67	4.74	4.55	4.73	4.41	4.64	22
Linda Benedict-Jones	0	5.33	4.68	4.69	4.7	4.27	4.71	4.68	4.83	4.67	4.62	22
"Benedict-Jones, L."	0	5.33	4.68	4.69	4.7	4.27	4.71	4.68	4.83	4.67	4.62	22
"Cartwright, L."	0	7.97	4.71	4.54	4.6	4.39	4.66	4.64	4.7	4.69	4.58	22
Lawrence Cartwright	0	7.97	4.71	4.54	4.6	4.39	4.66	4.64	4.7	4.69	4.58	22
"Story, S."	0	8.04	4.72	4.68	4.71	4.65	4.66	4.63	4.7	4.65	4.56	22
Stephen Story	0	8.04	4.72	4.68	4.71	4.65	4.66	4.63	4.7	4.65	4.56	22
Gary Patterson	0	7.03	4.69	4.54	4.58	4.58	4.65	4.53	4.62	4.53	4.5	22
Anil Gupta	0	11.19	4.64	4.54	4.56	4.4	4.66	4.6	4.67	4.6	4.49	22
Aaron Blum	0	9.31	4.49	4.41	4.45	4.36	4.49	4.6	4.74	4.53	4.48	22
Ronald Rosenfeld	0	10.06	4.62	4.56	4.57	4.29	4.58	4.61	4.71	4.62	4.47	22
Thomas Cortina	0	10.63	4.67	4.62	4.56	4.2	4.57	4.63	4.73	4.63	4.44	22
"Cortina, T."	0	10.63	4.67	4.62	4.56	4.2	4.57	4.63	4.73	4.63	4.44	22
Peter Freeman	0	7.3	4.47	4.59	4.51	4.5	4.5	4.54	4.74	4.51	4.44	22
Edward Engler	0	8.32	4.61	4.43	4.56	4.54	4.59	4.45	4.68	4.44	4.43	22
Necia Werner	0	8.56	4.78	4.15	4.29	4.38	4.58	4.35	4.85	4.5	4.42	22
Danith Ly	0	8.16	4.72	4.19	4.43	4.09	4.79	4.42	4.76	4.46	4.41	22
"Katz, E."	0	13.88	4.42	4.28	4.42	4.24	4.36	4.34	4.71	4.36	4.39	22
Edward Katz	0	13.88	4.42	4.28	4.42	4.24	4.36	4.34	4.71	4.36	4.39	22
Suttirat Larlarb	0	8.63	4.47	4.34	4.36	4.42	4.56	4.54	4.62	4.48	4.35	22
"Larlarb, S."	0	8.63	4.47	4.34	4.36	4.42	4.56	4.54	4.62	4.48	4.35	22
"Marculescu, D."	0	10.68	4.48	4.51	4.5	4.23	4.49	4.45	4.67	4.44	4.34	22
Diana Marculescu	0	10.68	4.48	4.51	4.5	4.23	4.49	4.45	4.67	4.44	4.34	22
"Smith, N."	0	8.66	4.44	4.34	4.39	3.94	4.45	4.34	4.61	4.46	4.32	22
Noah Smith	0	8.66	4.44	4.34	4.39	3.94	4.45	4.34	4.61	4.46	4.32	22
Terrance Murphy	0	11.16	4.5	4.45	4.43	4.26	4.55	4.43	4.69	4.42	4.3	22
"Murphy, T."	0	11.16	4.5	4.45	4.43	4.26	4.55	4.43	4.69	4.42	4.3	22
Claudia Benack	0	4.73	4.26	4.43	4.33	4.25	4.32	4.28	4.15	4.24	4.26	22
"Colwell, D."	0	5.16	4.4	4.34	4.32	4.34	4.33	4.42	4.44	4.41	4.23	22
Thierry Sans	0	10.83	4.26	4.12	4.24	3.94	4.29	4.13	4.3	4.15	4.16	22
"Sans, T."	0	10.83	4.26	4.12	4.24	3.94	4.29	4.13	4.3	4.15	4.16	22
"Manson, C."	0	6.82	4.41	4.3	4.33	4.37	4.37	4.31	4.46	4.43	4.15	22
Caden Manson	0	6.82	4.41	4.3	4.33	4.37	4.37	4.31	4.46	4.43	4.15	22
Jodi Forlizzi	0	7.96	4.37	4.19	4.23	4.19	4.37	4.23	4.71	4.31	4.15	22
"Forlizzi, J."	0	7.96	4.37	4.19	4.23	4.19	4.37	4.23	4.71	4.31	4.15	22
Andre Platzer	0	11.77	4.26	4.23	4.17	4	4.19	4.13	4.4	4.07	4.15	22
"Platzer, A."	0	11.77	4.26	4.23	4.17	4	4.19	4.13	4.4	4.07	4.15	22
Anthony Tomasic	0	9.7	4.19	4.21	4.26	4.17	4.2	4.21	4.46	4.19	4.11	22
"Tomasic, A."	0	9.7	4.19	4.21	4.26	4.17	4.2	4.21	4.46	4.19	4.11	22
Austin Lee	0	12.67	4.37	4.05	4.06	4.09	4.21	4.04	4.53	4.07	4.09	22
"Lee, A."	0	12.67	4.37	4.05	4.06	4.09	4.21	4.04	4.53	4.07	4.09	22
"Azevedo, I."	0	7.3	4.43	4.12	4.18	4.1	4.21	4.12	4.61	4.23	4.08	22
Ines Azevedo	0	7.3	4.43	4.12	4.18	4.1	4.21	4.12	4.61	4.23	4.08	22
Nancy Goeres	0	11.47	3.87	3.83	3.9	4.2	4.14	4.16	4.26	4.08	4.02	22
"Goeres, N."	0	11.47	3.87	3.83	3.9	4.2	4.14	4.16	4.26	4.08	4.02	22
Murlikrishna Viswanathan	0	12.92	4.19	4.22	4.19	3.96	4.17	4.05	4.64	4.02	3.96	22
"Lubetz, A."	0	15.12	4.43	3.54	3.88	3.74	4.22	3.77	3.92	4	3.92	22
Arthur Lubetz	0	15.12	4.43	3.54	3.88	3.74	4.22	3.77	3.92	4	3.92	22
"Stevens, S."	0	23.65	3.78	3.81	3.83	3.69	3.96	3.73	4.06	3.69	3.92	22
Scott Stevens	0	23.65	3.78	3.81	3.83	3.69	3.96	3.73	4.06	3.69	3.92	22
Christine Neuwirth	0	10.73	4.35	3.87	4	4.09	4.21	4.05	4.43	3.95	3.81	22
James Miller	0	8.74	4.19	3.9	4.01	4.14	4.11	4	4.31	4.01	3.75	22
"Hartkopf, V."	0	6.8	3.44	2.82	2.93	3.06	3.73	3.04	3.41	3.11	3.03	22
Volker Hartkopf	0	6.8	3.44	2.82	2.93	3.06	3.73	3.04	3.41	3.11	3.03	22
Susanne Slavick	0	12.96	4.81	4.66	4.67	4.77	4.78	4.75	4.85	4.81	4.7	21
"Slavick, S."	0	12.96	4.81	4.66	4.67	4.77	4.78	4.75	4.85	4.81	4.7	21
"Finger, S."	0	7.47	4.56	4.28	4.38	4.41	4.34	4.34	4.63	4.43	4.68	21
Susan Finger	0	7.47	4.56	4.28	4.38	4.41	4.34	4.34	4.63	4.43	4.68	21
Elizabeth Lawrence	0	3.56	4.73	4.64	4.67	4.69	4.75	4.69	4.67	4.66	4.66	21
Benjamin Reilly	0	7.78	4.62	4.66	4.63	4.7	4.63	4.68	4.67	4.75	4.64	21
"Reilly, B."	0	7.78	4.62	4.66	4.63	4.7	4.63	4.68	4.67	4.75	4.64	21
Muhammad Farooqi	0	9.65	4.78	4.61	4.57	4.55	4.7	4.66	4.81	4.66	4.63	21
"Farooqi, M."	0	9.65	4.78	4.61	4.57	4.55	4.7	4.66	4.81	4.66	4.63	21
"Culyba, D."	0	22.79	4.75	4.49	4.6	4.68	4.6	4.5	4.77	4.69	4.52	21
David Culyba	0	22.79	4.75	4.49	4.6	4.68	4.6	4.5	4.77	4.69	4.52	21
Erica Fuchs	0	11.47	4.51	4.39	4.45	4.41	4.51	4.36	4.62	4.43	4.46	21
"Fuchs, E."	0	11.47	4.51	4.39	4.45	4.41	4.51	4.36	4.62	4.43	4.46	21
Selma Limam Mansar	0	12.41	4.6	4.5	4.54	4.47	4.53	4.57	4.74	4.56	4.45	21
"Limam Mansar, S."	0	12.41	4.6	4.5	4.54	4.47	4.53	4.57	4.74	4.56	4.45	21
Jack Beuth	0	7.81	4.56	4.47	4.58	4.03	4.65	4.62	4.65	4.51	4.44	21
Stacy Rosenberg	0	6.4	4.65	4.7	4.71	4.65	4.69	4.66	4.75	4.62	4.43	21
James Cummings	0	9.74	4.46	4.13	4.35	3.86	4.45	4.61	4.71	4.51	4.43	21
"Cummings, J."	0	9.74	4.46	4.13	4.35	3.86	4.45	4.61	4.71	4.51	4.43	21
"Dias, M."	0	8.97	4.65	4.29	4.49	4.44	4.7	4.47	4.72	4.5	4.41	21
Mary Dias	0	8.97	4.65	4.29	4.49	4.44	4.7	4.47	4.72	4.5	4.41	21
Silvia Pessoa	0	9.72	4.51	4.56	4.47	4.46	4.43	4.55	4.52	4.46	4.41	21
Karl Crary	0	9.46	4.31	4.36	4.38	3.8	4.45	4.48	4.42	4.44	4.41	21
"Crary, K."	0	9.46	4.31	4.36	4.38	3.8	4.45	4.48	4.42	4.44	4.41	21
Vicki Helgeson	0	7.69	4.56	4.47	4.46	4.29	4.51	4.56	4.62	4.48	4.4	21
Richard Purcell	0	7.97	4.66	4.44	4.4	4.28	4.46	4.34	4.83	4.46	4.38	21
"Mowry, T."	0	14.5	4.41	4.4	4.43	4.02	4.38	4.4	4.63	4.37	4.34	21
Todd Mowry	0	14.5	4.41	4.4	4.43	4.02	4.38	4.4	4.63	4.37	4.34	21
Judith Schachter	0	8.16	4.41	4.25	4.27	4.3	4.54	4.43	4.6	4.44	4.28	21
Jay Aronson	0	8.97	4.45	4.25	4.49	4.19	4.65	4.39	4.43	4.36	4.27	21
"Aronson, J."	0	8.97	4.45	4.25	4.49	4.19	4.65	4.39	4.43	4.36	4.27	21
Paul Eiss	0	7.69	4.5	4.39	4.4	4.16	4.43	4.44	4.74	4.31	4.27	21
"Eiss, P."	0	7.69	4.5	4.39	4.4	4.16	4.43	4.44	4.74	4.31	4.27	21
"Dyer, C."	0	10.01	4.42	4.25	4.3	4	4.36	4.36	4.57	4.28	4.26	21
Christopher Dyer	0	10.01	4.42	4.25	4.3	4	4.36	4.36	4.57	4.28	4.26	21
"Kline, J."	0	17.28	4.21	4.14	4.08	4.24	4.35	4.23	4.55	4.23	4.19	21
Jonathan Kline	0	17.28	4.21	4.14	4.08	4.24	4.35	4.23	4.55	4.23	4.19	21
Newell Washburn	0	7.82	4.41	3.98	4.21	4	4.34	4.25	4.73	4.14	4.16	21
"Washburn, N."	0	7.82	4.41	3.98	4.21	4	4.34	4.25	4.73	4.14	4.16	21
"Stadelmeier, S."	0	11.05	4.46	3.86	3.93	4.08	4.34	4.14	4.19	4.21	4.14	21
Stephen Stadelmeier	0	11.05	4.46	3.86	3.93	4.08	4.34	4.14	4.19	4.21	4.14	21
Joseph Dicey	0	4.94	4.58	4.08	4.09	4.24	4.26	4.37	4.42	4.05	4.14	21
Daniel Phelps	0	9.49	4.69	4.32	4.51	4.21	4.52	4.4	4.81	4.32	4.12	21
"Phelps, D."	0	9.49	4.69	4.32	4.51	4.21	4.52	4.4	4.81	4.32	4.12	21
Douglas Coulson	0	9.13	4.36	4.01	4.05	4.09	4.37	4.15	4.67	4.24	4.08	21
Ernest Schimmerling	0	9.98	4.28	3.96	4.03	3.66	4.12	4.28	4.32	3.98	4.06	21
Kelly Hutzell	0	10.21	4.35	4.16	4.21	4.16	4.27	4.22	4.32	4.21	4.05	21
"Hutzell, K."	0	10.21	4.35	4.16	4.21	4.16	4.27	4.22	4.32	4.21	4.05	21
Iliano Cervesato	0	12.37	4.19	4.13	4.16	4.18	4.09	4.17	4.34	4.17	4.05	21
"Cervesato, I."	0	12.37	4.19	4.13	4.16	4.18	4.09	4.17	4.34	4.17	4.05	21
"Towe, E."	0	9.83	4.29	4.31	4.34	3.95	4.55	4.33	4.65	4.26	4.02	21
Elias Towe	0	9.83	4.29	4.31	4.34	3.95	4.55	4.33	4.65	4.26	4.02	21
Pei Zhang	0	9.52	4.23	3.98	3.92	4.34	4.23	4.06	4.51	4.12	4.02	21
"Zhang, P."	0	9.52	4.23	3.98	3.92	4.34	4.23	4.06	4.51	4.12	4.02	21
"Singh, A."	0	11.46	4.23	4.06	4.04	3.9	4.15	4.04	4.55	3.97	4.01	21
Aarti Singh	0	11.46	4.23	4.06	4.04	3.9	4.15	4.04	4.55	3.97	4.01	21
Robert Thomson	0	5.54	4.55	3.89	3.93	3.97	4.38	3.93	4.73	4.23	3.91	21
"Thomson, R."	0	5.54	4.55	3.89	3.93	3.97	4.38	3.93	4.73	4.23	3.91	21
B Erik Ydstie	0	6.9	4.13	3.79	3.86	3.82	3.96	3.81	4.45	3.89	3.82	21
Roger Rouse	0	6.44	4.19	4.22	4.27	3.8	4.22	4.1	4.39	3.95	3.75	21
"Reid-Miller, M."	0	11.01	3.85	3.74	3.75	3.49	3.72	3.61	4.24	3.5	3.73	21
Margaret Reid-Miller	0	11.01	3.85	3.74	3.75	3.49	3.72	3.61	4.24	3.5	3.73	21
Shlomo Taasan	0	7.77	4.04	3.73	3.74	3.75	3.99	3.83	4.51	3.75	3.71	21
Paul Fischbeck	0	8.6	3.93	3.35	3.48	3.44	4.2	3.67	3.95	3.7	3.67	21
"Fischbeck, P."	0	8.6	3.93	3.35	3.48	3.44	4.2	3.67	3.95	3.7	3.67	21
Mariana Achugar	0	9.12	4.86	4.68	4.7	4.8	4.78	4.8	4.87	4.79	4.75	20
Giovanni Leoni	0	11.75	4.71	4.57	4.54	4.63	4.59	4.75	4.81	4.76	4.72	20
John Woolford	0	7.73	4.89	4.59	4.64	4.62	4.81	4.73	4.88	4.79	4.67	20
"Woolford, J."	0	7.73	4.89	4.59	4.64	4.62	4.81	4.73	4.88	4.79	4.67	20
"Reeder, Z."	0	6	4.58	4.64	4.64	4.64	4.64	4.64	4.58	4.66	4.66	20
Zachary Reeder	0	6	4.58	4.64	4.64	4.64	4.64	4.64	4.58	4.66	4.66	20
Brooke Feeney	0	7.23	4.73	4.76	4.69	4.63	4.71	4.77	4.87	4.68	4.63	20
"Feeney, B."	0	7.23	4.73	4.76	4.69	4.63	4.71	4.77	4.87	4.68	4.63	20
Ingrid Sonnichsen	0	9.33	4.74	4.63	4.63	4.69	4.77	4.7	4.62	4.62	4.62	20
"Sonnichsen, I."	0	9.33	4.74	4.63	4.63	4.69	4.77	4.7	4.62	4.62	4.62	20
Matthew Szudzik	0	9.04	4.72	4.8	4.72	4.47	4.66	4.79	4.8	4.74	4.61	20
"Szudzik, M."	0	9.04	4.72	4.8	4.72	4.47	4.66	4.79	4.8	4.74	4.61	20
"Merrell, C."	0	11.76	4.75	4.52	4.53	4.63	4.63	4.61	4.83	4.67	4.56	20
Clayton Merrell	0	11.76	4.75	4.52	4.53	4.63	4.63	4.61	4.83	4.67	4.56	20
"Krogh, B."	0	7.36	4.71	4.57	4.6	4.53	4.68	4.62	4.76	4.66	4.56	20
Bruce Krogh	0	7.36	4.71	4.57	4.6	4.53	4.68	4.62	4.76	4.66	4.56	20
John Gasper	0	10.41	4.66	4.56	4.64	4.42	4.64	4.62	4.88	4.64	4.54	20
"Gasper, J."	0	10.41	4.66	4.56	4.64	4.42	4.64	4.62	4.88	4.64	4.54	20
Steven Schlossman	0	7.72	4.71	4.55	4.51	4.68	4.52	4.59	4.82	4.59	4.53	20
"Yu, B."	0	11.52	4.59	4.63	4.64	4.1	4.54	4.62	4.66	4.56	4.51	20
Byron Yu	0	11.52	4.59	4.63	4.64	4.1	4.54	4.62	4.66	4.56	4.51	20
Saquib Razak	0	12.51	4.76	4.57	4.58	4.41	4.63	4.63	4.83	4.67	4.44	20
"Razak, S."	0	12.51	4.76	4.57	4.58	4.41	4.63	4.63	4.83	4.67	4.44	20
David Plaut	0	7.8	4.54	4.6	4.52	4.46	4.52	4.55	4.81	4.54	4.43	20
At33	0	10.72	4.64	4.47	4.51	4.51	4.45	4.49	4.75	4.49	4.43	20
Peter Stuettgen	0	10.56	4.47	4.49	4.45	4.4	4.45	4.52	4.55	4.48	4.43	20
Benjamin Collier	0	7.57	4.42	4.43	4.46	4.15	4.46	4.45	4.79	4.44	4.41	20
"Collier, B."	0	7.57	4.42	4.43	4.46	4.15	4.46	4.45	4.79	4.44	4.41	20
Rami Grossberg	0	8.96	4.38	4.32	4.44	3.97	4.62	4.53	4.59	4.41	4.39	20
Riaz Esmail Zadeh	0	11.78	4.57	4.49	4.48	4.34	4.52	4.48	4.64	4.49	4.38	20
"Pollard, N."	0	11.32	4.39	4.27	4.32	4.09	4.53	4.31	4.77	4.28	4.36	20
Nancy Pollard	0	11.32	4.39	4.27	4.32	4.09	4.53	4.31	4.77	4.28	4.36	20
Daniel Neill	0	8.65	4.33	4.46	4.41	4.04	4.46	4.36	4.72	4.36	4.35	20
Klaus Sutner	0	10.97	4.37	4.2	4.26	3.97	4.43	4.36	4.55	4.39	4.34	20
"Sutner, K."	0	10.97	4.37	4.2	4.26	3.97	4.43	4.36	4.55	4.39	4.34	20
Wayne Wu	0	7.37	4.54	4.28	4.39	4.39	4.35	4.44	4.74	4.46	4.33	20
"Wu, W."	0	7.37	4.54	4.28	4.39	4.39	4.35	4.44	4.74	4.46	4.33	20
"Yee, S."	0	17.17	4.4	4.19	4.17	4.2	4.29	4.18	4.66	4.22	4.29	20
Shirley Yee	0	17.17	4.4	4.19	4.17	4.2	4.29	4.18	4.66	4.22	4.29	20
Aditya Khair	0	9.13	4.54	4.38	4.35	4.1	4.46	4.34	4.74	4.34	4.28	20
"Khair, A."	0	9.13	4.54	4.38	4.35	4.1	4.46	4.34	4.74	4.34	4.28	20
Katherine Lynch	0	9.79	4.56	4.45	4.37	4.47	4.45	4.47	4.46	4.42	4.25	20
Philip Leduc	0	6.83	4.51	4.29	4.35	4.07	4.49	4.34	4.71	4.32	4.25	20
"Leduc, P."	0	6.83	4.51	4.29	4.35	4.07	4.49	4.34	4.71	4.32	4.25	20
Khaled Harras	0	12.21	4.61	4.54	4.68	4.32	4.6	4.61	4.43	4.59	4.24	20
"Harras, K."	0	12.21	4.61	4.54	4.68	4.32	4.6	4.61	4.43	4.59	4.24	20
Starling Hunter	0	7.27	4.34	4.28	4.36	4.2	4.37	4.33	4.46	4.25	4.24	20
"Datta, A."	0	10.69	4.42	4.44	4.49	4.21	4.48	4.54	4.65	4.32	4.23	20
Anupam Datta	0	10.69	4.42	4.44	4.49	4.21	4.48	4.54	4.65	4.32	4.23	20
Rongchao Jin	0	7.73	4.25	4.23	4.32	4.11	4.49	4.39	4.71	4.2	4.19	20
"Jin, R."	0	7.73	4.25	4.23	4.32	4.11	4.49	4.39	4.71	4.2	4.19	20
Dejan Slepcev	0	9.52	4.54	4.21	4.42	4.12	4.46	4.33	4.65	4.19	4.18	20
Elisabeth Kaske	0	8.32	4.46	4.11	4.2	4.38	4.31	4.39	4.47	4.26	4.16	20
"Lavie, A."	0	6.74	4.29	4.25	4.27	4	4.2	4.32	4.46	4.13	4.15	20
Alon Lavie	0	6.74	4.29	4.25	4.27	4	4.2	4.32	4.46	4.13	4.15	20
"Visomirski-Robic, L."	0	9.75	4.4	4.25	4.19	4.17	4.15	4.15	4.59	4.15	4.11	20
Linda Visomirski-Robic	0	9.75	4.4	4.25	4.19	4.17	4.15	4.15	4.59	4.15	4.11	20
Mohammad Islam	0	11.86	4.36	4.2	4.28	3.88	4.41	4.13	4.31	4.12	4.11	20
"Lam, M."	0	11.86	4.36	4.2	4.28	3.88	4.41	4.13	4.31	4.12	4.11	20
Randy Kovitz	0	5.8	4.44	4.11	4.12	3.99	4.24	4.15	4.27	4.13	4.1	20
"Kovitz, R."	0	5.8	4.44	4.11	4.12	3.99	4.24	4.15	4.27	4.13	4.1	20
Brett Crawford	0	7.63	4.65	3.98	4.15	4.34	4.49	4.28	4.69	4.34	4.08	20
"Crawford, B."	0	7.63	4.65	3.98	4.15	4.34	4.49	4.28	4.69	4.34	4.08	20
Dana Cupkova	0	17.01	4.43	3.56	3.7	4.14	4.12	4.04	4.49	4.13	4.08	20
"Cupkova, D."	0	17.01	4.43	3.56	3.7	4.14	4.12	4.04	4.49	4.13	4.08	20
"Chemers, M."	0	5.04	4.36	3.99	3.98	4.08	4.19	3.97	4.32	4	4.04	20
Michael Chemers	0	5.04	4.36	3.99	3.98	4.08	4.19	3.97	4.32	4	4.04	20
Serguey Braguinsky	0	7.58	4.24	4.17	4.12	3.9	4.18	4.03	4.37	4.06	4	20
Edda Fields-Black	0	8.72	4.19	3.87	4.02	3.88	4.28	4.27	4.45	4.16	3.97	20
Dale Clifford	0	11.92	4.48	3.37	3.61	4.01	4.1	3.84	4.34	4.05	3.97	20
"Clifford, D."	0	11.92	4.48	3.37	3.61	4.01	4.1	3.84	4.34	4.05	3.97	20
Kevin Kelly	0	7.82	4.31	3.79	3.88	3.67	4.12	4.19	4.52	4.04	3.97	20
Stephen Calabrese	0	8.2	4.15	4.11	4.06	3.81	4.1	4.14	4.36	3.94	3.96	20
"Fossati, D."	0	12.48	4.2	4.14	4.04	3.79	4.07	4.11	4.54	4.05	3.8	20
Davide Fossati	0	12.48	4.2	4.14	4.04	3.79	4.07	4.11	4.54	4.05	3.8	20
Richard Statman	0	6.76	4.03	4.14	3.98	3.58	3.99	3.85	4.57	3.64	3.75	20
Wilfried Sieg	0	7.35	4.37	3.73	3.92	3.83	3.95	3.86	4.65	3.94	3.65	20
"Sieg, W."	0	7.35	4.37	3.73	3.92	3.83	3.95	3.86	4.65	3.94	3.65	20
Milton Cofield	0	6.4	4.02	3.5	3.69	3.51	3.99	3.8	4.35	3.72	3.6	20
Mark Perrott	0	8.76	4.77	4.81	4.61	4.63	4.74	4.75	4.88	4.76	4.71	19
Rachel Goodmanson	0	7.09	4.82	4.87	4.82	4.86	4.7	4.76	4.91	4.81	4.62	19
Robert Tilton	0	7.87	4.61	4.65	4.65	4.41	4.63	4.67	4.81	4.63	4.57	19
"Tilton, R."	0	7.87	4.61	4.65	4.65	4.41	4.63	4.67	4.81	4.63	4.57	19
Jerome Apt	0	8.54	4.68	4.48	4.59	3.94	4.72	4.7	4.52	4.62	4.54	19
Sheldon Cohen	0	8.69	4.4	4.75	4.65	4.56	4.63	4.58	4.72	4.49	4.53	19
Ivette Spradlin	0	10.58	4.57	4.34	4.32	4.49	4.44	4.47	4.68	4.39	4.53	19
"Nourbakhsh, I."	0	9.75	4.65	4.24	4.28	4.36	4.55	4.49	4.72	4.61	4.5	19
Illah Nourbakhsh	0	9.75	4.65	4.24	4.28	4.36	4.55	4.49	4.72	4.61	4.5	19
Timothy Haggerty	0	5.7	4.54	4.22	4.21	4.29	4.42	4.33	4.46	4.52	4.45	19
Erik Thiessen	0	7.69	4.55	4.56	4.55	4.3	4.5	4.55	4.64	4.54	4.41	19
"Akinci, B."	0	7.75	4.21	4.08	4.21	3.99	4.23	4.13	4.45	4.2	4.36	19
Burcu Akinci	0	7.75	4.21	4.08	4.21	3.99	4.23	4.13	4.45	4.2	4.36	19
"Coffelt, D."	0	7.5	4.19	4.05	4.08	3.96	4.32	4.16	4.44	4.13	4.34	19
Maria Spacagna	0	8.59	4.81	4.26	4.47	4.53	4.78	4.27	4.42	4.41	4.31	19
Dudley Reynolds	0	8.96	4.49	4.47	4.43	4.32	4.42	4.43	4.68	4.41	4.28	19
"Haley, R."	0	5.69	4.6	4.24	4.34	4.26	4.29	4.38	4.37	4.29	4.27	19
Robert Haley	0	5.69	4.6	4.24	4.34	4.26	4.29	4.38	4.37	4.29	4.27	19
Alicia Salaz	0	4.07	4.59	4.63	4.67	4.39	4.56	4.56	4.9	4.61	4.26	19
Jeremy Michalek	0	12.35	4.45	4.29	4.4	4.32	4.39	4.37	4.54	4.4	4.26	19
"Michalek, J."	0	12.35	4.45	4.29	4.4	4.32	4.39	4.37	4.54	4.4	4.26	19
"Zimmerman, J."	0	10.68	4.44	4.08	4.15	4.35	4.47	4.34	4.39	4.37	4.25	19
John Zimmerman	0	10.68	4.44	4.08	4.15	4.35	4.47	4.34	4.39	4.37	4.25	19
Kaushik Dayal	0	6.08	4.27	4.47	4.27	3.97	4.3	4.29	4.4	4.24	4.25	19
"Dayal, K."	0	6.08	4.27	4.47	4.27	3.97	4.3	4.29	4.4	4.24	4.25	19
David Laughlin	0	9.69	4.53	4.26	4.33	4.15	4.5	4.38	4.71	4.36	4.22	19
Robert Simmons	0	13.29	4.48	4.35	4.33	4.21	4.34	4.36	4.67	4.31	4.22	19
"Simmons, R."	0	13.29	4.48	4.35	4.33	4.21	4.34	4.36	4.67	4.31	4.22	19
"Gordon, G."	0	8.82	4.5	4.27	4.31	4.3	4.42	4.34	4.67	4.35	4.18	19
Geoffrey Gordon	0	8.82	4.5	4.27	4.31	4.3	4.42	4.34	4.67	4.35	4.18	19
Hyung Kim	0	12.02	4.39	4.13	4.16	3.91	4.51	4.37	4.48	4.31	4.16	19
"Kim, H."	0	12.02	4.39	4.13	4.16	3.91	4.51	4.37	4.48	4.31	4.16	19
Christopher Jones	0	8.09	4.41	4.22	4.1	4.31	4.29	4.24	4.64	4.38	4.14	19
"Antaki, J."	0	7.33	4.46	3.98	4.15	3.89	4.39	4.26	4.46	4.11	4.14	19
James Antaki	0	7.33	4.46	3.98	4.15	3.89	4.39	4.26	4.46	4.11	4.14	19
Mario Berges	0	9.16	4.46	4.19	4.16	4.34	4.26	4.08	4.6	4.24	4.11	19
Paul Salvador	0	9.46	4.26	4.11	4.22	3.69	4.3	4.09	4.32	4.16	4.06	19
"Salvador, P."	0	9.46	4.26	4.11	4.22	3.69	4.3	4.09	4.32	4.16	4.06	19
Shawn Alfonso-Wells	0	6.69	4.31	3.81	3.96	3.69	4.31	4.17	4.49	4.06	4.05	19
Patrick Mcsharry	0	13.64	4.22	3.92	4.15	3.66	4.34	4.1	4.67	4.03	4.02	19
Gustavo Rohde	0	9.5	4.38	4.17	4.23	3.98	4.33	4.11	4.49	3.99	4.01	19
"Rohde, G."	0	9.5	4.38	4.17	4.23	3.98	4.33	4.11	4.49	3.99	4.01	19
Peter Spirtes	0	6.23	4.38	4.12	4.14	4.17	4.16	4.13	4.64	4.19	3.99	19
"Spirtes, P."	0	6.23	4.38	4.12	4.14	4.17	4.16	4.13	4.64	4.19	3.99	19
Karen Thickman	0	8.39	4.53	4.19	4.21	4.23	4.26	4.15	4.55	4.28	3.88	19
"Thickman, K."	0	8.39	4.53	4.19	4.21	4.23	4.26	4.15	4.55	4.28	3.88	19
Nikolaos Sahinidis	0	6.91	3.97	3.96	4.06	3.72	4.19	3.95	4.39	3.95	3.86	19
Alan Frieze	0	5.46	3.86	3.99	4	3.69	4	3.91	4.4	3.8	3.85	19
"Frieze, A."	0	5.46	3.86	3.99	4	3.69	4	3.91	4.4	3.8	3.85	19
Laurie Heller	0	7.19	4.22	3.98	3.99	4.21	4.21	3.85	4.56	3.86	3.78	19
"Heller, L."	0	7.19	4.22	3.98	3.99	4.21	4.21	3.85	4.56	3.86	3.78	19
Bruno Sinopoli	0	11.49	3.98	3.78	3.84	3.57	4	3.66	4.35	3.71	3.75	19
"Sinopoli, B."	0	11.49	3.98	3.78	3.84	3.57	4	3.66	4.35	3.71	3.75	19
