Instructor	Course	Hours per week	Interest in student learning	Explain course requirements	Clear learning goals	Instructor provided feedback to students	Importance of subject	Explains subject matter	Show respect for students	Overall teaching	Overall course	Number of times taught
Chinmay Kulkarni	05-499	11.75	3.75	3	4	3.12	4.12	4.38	4	4	3.75	2
Geoff Kaufman	05-499	7.4	4.73	4.8	4.73	4.87	4.8	4.8	4.93	4.8	4.53	1
Brad Myers	05-499	7.57	4.14	4.29	4.14	4.29	4.29	4.43	4	4	4.14	1
"Myers, B."	05-499	7.57	4.14	4.29	4.14	4.29	4.29	4.43	4	4	4.14	1
"Berntsen, K."	05-499	9.8	4	3.2	3.4	4	4.2	4.2	4.6	4.2	4	1
Karen Berntsen	05-499	9.8	4	3.2	3.4	4	4.2	4.2	4.6	4.2	4	1
Scott Hudson	05-499	7	4	3.25	3.44	4	3.78	4.11	4.56	3.44	3.44	1
"Hudson, S."	05-499	7	4	3.25	3.44	4	3.78	4.11	4.56	3.44	3.44	1
Jennifer Mankoff	05-499	6.5	3.75	3.5	2.5	3.5	3.5	3	3.75	3.5	2.75	1
"Mankoff, J."	05-499	6.5	3.75	3.5	2.5	3.5	3.5	3	3.75	3.5	2.75	1
James Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
"Miller, J."	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
Janel Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
Jennifer Keating-Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
Jessamyn Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
Jill Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
John Miller	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
"Keating-Miller, J."	05-499	6.5	3.5	3.25	3	3.25	3	3	3.33	3.25	2.75	1
"Siewiorek, D."	05-540	11.4	4.13	3.17	3.17	4.13	3.53	3.47	4.27	3.63	3.93	5
"Smailagic, A."	05-540	11.4	4	3.43	3.13	3.43	3.3	3.33	3.93	3.43	3.73	5
"Kraut, R."	05-571	10.78	4.07	4.03	4.12	4.25	3.98	3.98	4.54	3.98	3.95	4
Robert Kraut	05-571	10.78	4.07	4.03	4.12	4.25	3.98	3.98	4.54	3.98	3.95	4
"Aleven, V."	05-571	10.42	4.25	3.92	4.01	3.87	3.92	3.65	4.41	4.03	3.84	3
Vincent Aleven	05-571	10.42	4.25	3.92	4.01	3.87	3.92	3.65	4.41	4.03	3.84	3
"Date, J."	05-571	13.96	4.33	3.93	3.97	4.21	4.36	4	4.01	4.18	4.04	2
Jennifer Date	05-571	13.96	4.33	3.93	3.97	4.21	4.36	4	4.01	4.18	4.04	2
"Zimmerman, J."	05-571	10.75	4.38	3.92	4.08	4.23	4.31	4.23	4.08	4.23	3.85	1
John Zimmerman	05-571	10.75	4.38	3.92	4.08	4.23	4.31	4.23	4.08	4.23	3.85	1
Indra Szegedy	05-589	7.8	4.56	4.56	4.65	4.56	4.56	4.56	4.65	4.56	4.56	2
"Morris, J."	05-610	13.06	3.77	3.19	3.35	3.46	3.69	3.42	4.08	3.36	3.23	4
James Morris	05-610	13.06	3.77	3.19	3.35	3.46	3.69	3.42	4.08	3.36	3.23	4
Jennifer Morris	05-610	13.06	3.77	3.19	3.35	3.46	3.69	3.42	4.08	3.36	3.23	4
"Ogan, A."	05-610	12.56	4.32	3.48	3.79	3.81	4.04	4	4.54	3.96	3.26	2
Ahmet Ozan Erdogan	05-610	12.56	4.32	3.48	3.79	3.81	4.04	4	4.54	3.96	3.26	2
Amy Ogan	05-610	12.56	4.32	3.48	3.79	3.81	4.04	4	4.54	3.96	3.26	2
Matthew Kam	05-610	12.02	3.62	3.04	3.4	3.06	3.77	3.46	3.84	3.15	3.23	2
"Kam, M."	05-610	12.02	3.62	3.04	3.4	3.06	3.77	3.46	3.84	3.15	3.23	2
"John, B."	05-610	12.65	4.06	3.13	3.84	3.65	4.26	4.06	4.16	3.94	3.65	1
"Ferreira, D."	05-610	12.69	3.74	3.24	3.45	3.58	3.55	3.47	4.21	3.29	3.34	1
"Kraut, R."	05-610	14.6	3.93	3.63	3.85	3.39	3.87	3.74	4.13	3.5	3.24	1
Robert Kraut	05-610	14.6	3.93	3.63	3.85	3.39	3.87	3.74	4.13	3.5	3.24	1
Jennifer Mankoff	05-610	12.22	3.94	2.73	3.18	3.31	3.71	3.55	4.35	3.39	2.92	1
"Mankoff, J."	05-610	12.22	3.94	2.73	3.18	3.31	3.71	3.55	4.35	3.39	2.92	1
Anind Dey	05-630	8.69	4.42	4.21	4.26	3.98	4.39	4.34	4.72	4.3	3.99	6
"Dey, A."	05-630	8.69	4.42	4.21	4.26	3.98	4.39	4.34	4.72	4.3	3.99	6
Jason Hong	05-630	11.49	4.94	4.89	4.91	4.74	4.97	5	5	5	4.86	1
"Hong, J."	05-630	11.49	4.94	4.89	4.91	4.74	4.97	5	5	5	4.86	1
"Matsuda, N."	05-630	6.25	4.38	4.15	4	3.62	4.23	4.08	4.38	4.08	4	1
"Aleven, V."	05-630	6.38	4	4.23	4.08	3.85	3.85	3.85	4.46	3.85	4	1
Vincent Aleven	05-630	6.38	4	4.23	4.08	3.85	3.85	3.85	4.46	3.85	4	1
"Nebeling, M."	05-630	16.16	4	3.72	3.89	3.56	3.79	4.06	4.21	3.63	3.74	1
Scott Hudson	05-631	5.61	3.93	4.25	4.11	3.38	4.31	4.53	4.5	4.17	3.89	4
"Hudson, S."	05-631	5.61	3.93	4.25	4.11	3.38	4.31	4.53	4.5	4.17	3.89	4
Jennifer Mankoff	05-631	11.84	4.01	3.44	3.39	3.61	3.77	3.36	4.3	3.26	3.25	3
"Mankoff, J."	05-631	11.84	4.01	3.44	3.39	3.61	3.77	3.36	4.3	3.26	3.25	3
Anind Dey	05-633	9.34	4.09	4.09	4.07	3.84	3.95	3.89	4.41	3.97	3.82	9
"Dey, A."	05-633	9.34	4.09	4.09	4.07	3.84	3.95	3.89	4.41	3.97	3.82	9
Scott Hudson	05-633	8.23	4.08	4.1	4.03	4.02	3.89	3.94	4.46	3.87	3.92	8
"Hudson, S."	05-633	8.23	4.08	4.1	4.03	4.02	3.89	3.94	4.46	3.87	3.92	8
"Aleven, V."	05-633	8.8	4.21	3.85	3.62	4.32	3.89	3.81	4.63	4.07	3.8	4
Vincent Aleven	05-633	8.8	4.21	3.85	3.62	4.32	3.89	3.81	4.63	4.07	3.8	4
"Matsuda, N."	05-633	9.64	4.79	4.4	4.55	4.57	4.64	4.57	4.79	4.86	4.86	2
Jennifer Mankoff	05-633	10.45	3.96	4.13	3.77	4.25	3.92	3.88	4.38	4.13	3.77	2
"Mankoff, J."	05-633	10.45	3.96	4.13	3.77	4.25	3.92	3.88	4.38	4.13	3.77	2
"Oney, S."	05-633	5	5	5	4.5	5	4.75	4.75	5	4.5	4.5	1
"Pendleton, B."	05-633	9	4.67	4	4	4.67	3.67	3.33	4.67	3.67	4	1
"Dillahunt, T."	05-633	10	4.58	4.17	4.17	4.33	4.25	4	4.67	4.33	3.92	1
"Aleahmad, T."	05-633	11	3.3	3	3.4	2.6	3.3	2.8	4	2.8	3.1	1
Brad Myers	05-640	9.5	4.5	4.83	4.83	4.83	4.67	4.67	4.67	4.83	4.83	1
"Myers, B."	05-640	9.5	4.5	4.83	4.83	4.83	4.67	4.67	4.67	4.83	4.83	1
"Berntsen, K."	05-650	10.89	4.27	3.5	3.54	3.72	3.74	3.45	4.12	3.41	2.99	5
Karen Berntsen	05-650	10.89	4.27	3.5	3.54	3.72	3.74	3.45	4.12	3.41	2.99	5
Haakon Faste	05-650	11.12	4.89	4.36	4.39	4.78	4.63	4.62	5	4.83	4.26	4
"Lee, R."	05-650	11.18	3.71	3.26	3.21	3.49	3.28	3.11	4.09	3.15	2.84	4
Rita Lee	05-650	11.18	3.71	3.26	3.21	3.49	3.28	3.11	4.09	3.15	2.84	4
Eric Paulos	05-650	10.08	3.7	3.59	3.19	3.73	3.63	3.47	4.43	3.53	3.36	3
"Paulos, E."	05-650	10.08	3.7	3.59	3.19	3.73	3.63	3.47	4.43	3.53	3.36	3
"Zimmerman, J."	05-650	10.55	4.6	4.15	4.25	4.45	4.65	4.5	4.55	4.7	4.45	2
John Zimmerman	05-650	10.55	4.6	4.15	4.25	4.45	4.65	4.5	4.55	4.7	4.45	2
"Dow, S."	05-650	13.69	3.63	4.06	4.13	3.56	3.81	3.81	3.25	3.56	3.63	1
Steven Dow	05-650	13.69	3.63	4.06	4.13	3.56	3.81	3.81	3.25	3.56	3.63	1
Peter Scupelli	05-650	9.15	4.38	3.92	4.08	4.31	4.23	4	4.92	4.23	3.54	1
"Scupelli, P."	05-650	9.15	4.38	3.92	4.08	4.31	4.23	4	4.92	4.23	3.54	1
"Hammer, J."	05-650	11.43	4.95	4.36	4.27	4.64	4.41	4.41	4.81	4.59	3.27	1
Jessica Hammer	05-650	11.43	4.95	4.36	4.27	4.64	4.41	4.41	4.81	4.59	3.27	1
"Berntsen, K."	05-651	12.41	4.51	3.89	4.05	4.31	4.43	4.15	4.43	4.17	4.2	9
Karen Berntsen	05-651	12.41	4.51	3.89	4.05	4.31	4.43	4.15	4.43	4.17	4.2	9
"Lee, R."	05-651	12.02	4.41	4.17	4.04	4.41	4.27	4.07	4.56	4.18	4.04	5
Rita Lee	05-651	12.02	4.41	4.17	4.04	4.41	4.27	4.07	4.56	4.18	4.04	5
Haakon Faste	05-651	9.55	4.73	4.64	4.57	4.68	4.6	4.52	4.92	4.8	4.62	4
"Zimmerman, J."	05-651	12.45	4.53	4.35	4.41	4.64	4.67	4.42	4.51	4.52	4.45	3
John Zimmerman	05-651	12.45	4.53	4.35	4.41	4.64	4.67	4.42	4.51	4.52	4.45	3
"Shelly, M."	05-651	12.45	4.46	3.64	3.93	4.01	4.35	4.02	4.58	4.06	4.11	3
"Dow, S."	05-651	9.9	4	4.05	4.09	3.95	3.91	3.94	4.11	3.88	3.89	2
Steven Dow	05-651	9.9	4	4.05	4.09	3.95	3.91	3.94	4.11	3.88	3.89	2
Linda Van Roosmalen	05-651	10.25	3.62	2.85	3.22	3.23	3.44	3.29	3.96	3.25	3.5	2
Jodi Forlizzi	05-651	8	5	4.75	4.75	5	4.92	4.75	5	5	4.83	1
"Forlizzi, J."	05-651	8	5	4.75	4.75	5	4.92	4.75	5	5	4.83	1
"Moertel, S."	05-651	14.11	4.36	3.33	3.77	3.92	4.28	3.97	4.62	3.85	3.97	1
Jodi Forlizzi	05-652	8.35	4.11	4.06	3.89	4.11	4.28	3.78	4.83	4	3.89	1
"Forlizzi, J."	05-652	8.35	4.11	4.06	3.89	4.11	4.28	3.78	4.83	4	3.89	1
"Morris, J."	05-670	6.07	3.93	3.86	4.21	4.29	4.21	3.93	4.36	4	3.71	1
James Morris	05-670	6.07	3.93	3.86	4.21	4.29	4.21	3.93	4.36	4	3.71	1
Jennifer Morris	05-670	6.07	3.93	3.86	4.21	4.29	4.21	3.93	4.36	4	3.71	1
"Date, J."	05-671	16.69	4.54	4.11	4.25	4.31	4.51	4.31	4.29	4.27	4.26	5
Jennifer Date	05-671	16.69	4.54	4.11	4.25	4.31	4.51	4.31	4.29	4.27	4.26	5
Jason Hong	05-671	18.46	4.39	4.1	4.27	4.46	4.44	4.32	4.49	4.37	4.26	3
"Hong, J."	05-671	18.46	4.39	4.1	4.27	4.46	4.44	4.32	4.49	4.37	4.26	3
Brad Myers	05-671	13.55	3.62	3.46	3.54	3.63	3.83	3.81	3.82	3.52	3.7	2
"Myers, B."	05-671	13.55	3.62	3.46	3.54	3.63	3.83	3.81	3.82	3.52	3.7	2
"Berntsen, K."	05-671	19.46	4.21	3.56	3.63	4.18	3.96	3.78	4.05	3.9	3.42	2
Karen Berntsen	05-671	19.46	4.21	3.56	3.63	4.18	3.96	3.78	4.05	3.9	3.42	2
"Angiolillo, C."	05-671	20.35	4.52	4.48	4.56	4.48	4.59	4.44	4.67	4.44	4.52	1
"Ballay, L."	05-671	20.22	4.11	3.68	3.68	3.96	4.07	3.89	4.14	3.89	3.75	1
"Wahila, D."	05-671	20.54	4.27	3.9	4	4.45	4.27	4.3	4.55	4.27	3.42	1
"Shelly, M."	05-671	19.46	3.91	3.64	3.64	3.82	3.91	3.91	4.09	4	3.31	1
"Minnaert, G."	05-671	19.33	4.22	3.89	3.89	4.22	3.89	4	4.33	4.11	3.3	1
"Aleven, V."	05-671	20	3.82	3.59	3.59	3.76	3.88	3.53	3.94	3.65	3.28	1
Vincent Aleven	05-671	20	3.82	3.59	3.59	3.76	3.88	3.53	3.94	3.65	3.28	1
"Date, J."	05-672	17.8	4.56	4.14	4.23	4.3	4.41	4.21	4.1	4.13	4.28	5
Jennifer Date	05-672	17.8	4.56	4.14	4.23	4.3	4.41	4.21	4.1	4.13	4.28	5
Jason Hong	05-672	19.43	4.3	3.96	4.16	4.25	4.24	4.05	4.3	4.23	4.17	4
"Hong, J."	05-672	19.43	4.3	3.96	4.16	4.25	4.24	4.05	4.3	4.23	4.17	4
"Berntsen, K."	05-672	26.29	4.26	3.56	3.58	4.07	3.88	3.86	4	3.88	3.9	2
Karen Berntsen	05-672	26.29	4.26	3.56	3.58	4.07	3.88	3.86	4	3.88	3.9	2
"Minnaert, G."	05-672	27	4.8	4.4	4.6	4.8	4.8	4.8	4.8	4.8	4.4	1
"Wahila, D."	05-672	27	4.67	4.33	4.67	4.67	4.67	4.67	4.67	4.67	4.33	1
"Aleven, V."	05-672	27	4.43	3.71	3.86	4.14	4.14	4	4.57	4.33	4.29	1
Vincent Aleven	05-672	27	4.43	3.71	3.86	4.14	4.14	4	4.57	4.33	4.29	1
"Shelly, M."	05-672	23.86	4.57	4.29	4.14	4.14	4.29	4.14	4.71	4.14	4.29	1
Brad Myers	05-672	13.14	3.71	3.43	3.57	4.14	4.29	4	3.57	3.86	4.29	1
"Myers, B."	05-672	13.14	3.71	3.43	3.57	4.14	4.29	4	3.57	3.86	4.29	1
"Angiolillo, C."	05-672	24	4.18	3.93	3.96	4.18	4.43	4.11	4.79	4.18	4	1
"Ballay, L."	05-672	24.73	3.57	2.77	3.05	3.14	3.14	3.05	3.32	3.09	3.36	1
Michael Bett	05-680	10.25	5	5	5	5	5	5	5	5	5	2
Kenneth Koedinger	05-681	19.26	4.21	4.34	4.17	4.17	4.07	3.82	4.54	4.26	4.12	2
"Koedinger, K."	05-681	19.26	4.21	4.34	4.17	4.17	4.07	3.82	4.54	4.26	4.12	2
John Stamper	05-681	16.15	3.88	4.11	3.9	3.58	4.01	3.83	4.33	3.53	3.67	2
"Stamper, J."	05-681	16.15	3.88	4.11	3.9	3.58	4.01	3.83	4.33	3.53	3.67	2
"Mclaren, B."	05-681	12.8	4.6	4.4	4.4	4.8	4.6	4.6	4.8	4.4	4.2	1
John Stamper	05-682	24.78	3.97	3.94	4.08	3.78	4.08	3.83	4.42	3.78	4.19	3
"Stamper, J."	05-682	24.78	3.97	3.94	4.08	3.78	4.08	3.83	4.42	3.78	4.19	3
Kenneth Koedinger	05-682	24.41	4.62	4.42	4.42	4.75	4.58	4.33	4.75	4.38	4.75	2
"Koedinger, K."	05-682	24.41	4.62	4.42	4.42	4.75	4.58	4.33	4.75	4.38	4.75	2
"Mclaren, B."	05-682	25.5	5	4.5	4.5	5	5	4.75	5	5	4.67	1
"Date, J."	05-688	12.5	4.67	4.67	4.5	4.67	4.5	4.17	4.5	4.5	4.67	1
Jennifer Date	05-688	12.5	4.67	4.67	4.5	4.67	4.5	4.17	4.5	4.5	4.67	1
Kenneth Koedinger	05-748	8.27	4.27	3.27	3.45	3.36	3.91	3.64	4.45	3.73	3.45	1
"Koedinger, K."	05-748	8.27	4.27	3.27	3.45	3.36	3.91	3.64	4.45	3.73	3.45	1
Aniket Kittur	05-771	8.15	4.72	3.82	4.18	4.41	4.55	4.47	4.82	4.38	4.21	4
"Kittur, A."	05-771	8.15	4.72	3.82	4.18	4.41	4.55	4.47	4.82	4.38	4.21	4
Jennifer Mankoff	05-771	8	4	3.65	3.29	4.36	3.93	3.29	3.79	3.21	3.15	2
"Mankoff, J."	05-771	8	4	3.65	3.29	4.36	3.93	3.29	3.79	3.21	3.15	2
"Kraut, R."	05-771	6.71	4.14	4.14	4.43	4.57	4.29	4.14	4.43	3.86	3.71	1
Robert Kraut	05-771	6.71	4.14	4.14	4.43	4.57	4.29	4.14	4.43	3.86	3.71	1
"Kraut, R."	05-772	8.99	4.22	3.76	3.85	3.65	4.15	4.13	4.37	3.88	3.88	2
Robert Kraut	05-772	8.99	4.22	3.76	3.85	3.65	4.15	4.13	4.37	3.88	3.88	2
Laura Dabbish	05-772	9.58	4.5	4	3.92	4.08	4.08	4.08	4.92	4.17	3.75	1
Brad Myers	05-773	8.29	4.28	4.77	4.39	3.92	4.62	4.3	4.26	4.18	4.22	2
"Myers, B."	05-773	8.29	4.28	4.77	4.39	3.92	4.62	4.3	4.26	4.18	4.22	2
Scott Hudson	05-773	5.43	4	4	4	3.14	4.14	4	4.43	4	4	1
"Hudson, S."	05-773	5.43	4	4	4	3.14	4.14	4	4.43	4	4	1
"Zimmerman, J."	05-774	9.21	4.75	4.51	4.41	4.07	4.51	4.41	4.45	4.56	4.44	2
John Zimmerman	05-774	9.21	4.75	4.51	4.41	4.07	4.51	4.41	4.45	4.56	4.44	2
Jodi Forlizzi	05-774	7.1	4.62	3.81	3.92	4.13	4.27	4.35	4.77	4.5	4.05	2
"Forlizzi, J."	05-774	7.1	4.62	3.81	3.92	4.13	4.27	4.35	4.77	4.5	4.05	2
Aniket Kittur	05-775	8.31	4.69	4.6	4.66	4.15	4.65	4.61	4.92	4.69	4.48	3
"Kittur, A."	05-775	8.31	4.69	4.6	4.66	4.15	4.65	4.61	4.92	4.69	4.48	3
Cleotilde Gonzalez	05-775	8.67	4	3.33	3.11	3.78	3.33	3.44	3.67	3.56	3.11	1
Roberta Klatzky	05-795	11.07	4.53	4.53	4.7	4.57	4.67	4.5	4.5	4.6	4.5	5
"Kraut, R."	05-810	11.59	4.64	4.04	4.05	4.47	4.65	4.62	4.95	4.36	4.29	2
Robert Kraut	05-810	11.59	4.64	4.04	4.05	4.47	4.65	4.62	4.95	4.36	4.29	2
Laura Dabbish	05-813	9.31	4.54	4.07	4.25	4.13	4.4	4.31	4.8	3.98	4.08	4
Sara Kiesler	05-813	7.81	4.13	4.49	4.28	4.04	4.46	4.3	4.62	4.21	4.32	2
Sara Kiesler	05-816	8.66	4.64	4.7	4.64	4.64	4.7	4.89	4.78	4.58	4.58	2
Geoff Kaufman	05-816	10.4	4.8	4.6	4.4	4.6	4.6	4.6	4.8	4.4	4.2	1
"Aleven, V."	05-818	10.74	4.52	4.38	4.38	4.32	4.56	4.31	4.73	4.42	4.62	2
Vincent Aleven	05-818	10.74	4.52	4.38	4.38	4.32	4.56	4.31	4.73	4.42	4.62	2
"Ogan, A."	05-818	11.3	4.61	4.24	4.38	4.24	4.48	4.62	4.92	4.26	4.2	2
Amy Ogan	05-818	11.3	4.61	4.24	4.38	4.24	4.48	4.62	4.92	4.26	4.2	2
"John, B."	05-819	10	3.67	4	3.67	4	4.33	3.33	4.33	4	3	1
Matthew Kam	05-819	11	3	3	2.67	2	3	3	1.67	2	2	1
"Kam, M."	05-819	11	3	3	2.67	2	3	3	1.67	2	2	1
Jason Hong	05-820	7.92	4.25	3.92	4.04	3.94	4.26	4.44	4.59	4.34	3.99	3
"Hong, J."	05-820	7.92	4.25	3.92	4.04	3.94	4.26	4.44	4.59	4.34	3.99	3
Aniket Kittur	05-820	8.54	4.2	4.27	4.22	4.16	4.44	4.43	4.54	4.42	4.21	2
"Kittur, A."	05-820	8.54	4.2	4.27	4.22	4.16	4.44	4.43	4.54	4.42	4.21	2
Jeffrey Bigham	05-820	7.38	4.56	4.29	4.31	3.5	4.56	4.56	5	4.28	4.12	2
"Bigham, J."	05-820	7.38	4.56	4.29	4.31	3.5	4.56	4.56	5	4.28	4.12	2
"Kraut, R."	05-820	7.47	3.76	2.76	3.47	3.47	4.12	4.18	4.12	3.88	3.71	1
Robert Kraut	05-820	7.47	3.76	2.76	3.47	3.47	4.12	4.18	4.12	3.88	3.71	1
Sara Kiesler	05-821	9.75	4.55	4.23	4.41	4.51	4.68	4.5	4.64	4.55	4.58	3
Sara Kiesler	05-822	8.92	4.47	3.96	4.1	4.46	4.63	4.24	4.51	4.45	4.22	3
Kenneth Koedinger	05-823	10.34	4.39	4.19	4.33	4.01	4.34	4.23	4.55	4.05	4.16	3
"Koedinger, K."	05-823	10.34	4.39	4.19	4.33	4.01	4.34	4.23	4.55	4.05	4.16	3
Brad Myers	05-830	12.73	4.47	4.27	4.6	4.53	4.6	4.6	4.73	4.53	4.6	1
"Myers, B."	05-830	12.73	4.47	4.27	4.6	4.53	4.6	4.6	4.73	4.53	4.6	1
"Aleven, V."	05-832	10.34	4.59	4.34	4.3	4.61	4.68	4.18	4.79	4.34	4.36	5
Vincent Aleven	05-832	10.34	4.59	4.34	4.3	4.61	4.68	4.18	4.79	4.34	4.36	5
"Matsuda, N."	05-832	10	5	5	4.33	4.67	4.67	4.67	5	4.33	5	1
Scott Hudson	05-833	9.34	4.01	4.1	4.1	3.84	4.26	4.19	4.52	4.02	4.05	6
"Hudson, S."	05-833	9.34	4.01	4.1	4.1	3.84	4.26	4.19	4.52	4.02	4.05	6
Carolyn Rose	05-834	9.43	4.46	4.43	4.36	4.35	4.38	4.21	4.56	4.17	4.07	13
Scott Hudson	05-835	8.41	4.11	3.96	4.03	3.83	4.37	4.41	4.66	4.19	4	2
"Hudson, S."	05-835	8.41	4.11	3.96	4.03	3.83	4.37	4.41	4.66	4.19	4	2
Ljudevit Bauer	05-836	11	5	5	5	5	5	5	5	5	5	1
"Bauer, L."	05-836	11	5	5	5	5	5	5	5	5	5	1
Nicolas Christin	05-836	11	4.67	5	5	5	5	5	5	5	5	1
"Christin, N."	05-836	11	4.67	5	5	5	5	5	5	5	5	1
Lorrie Cranor	05-836	14	2	3.33	2.33	2.33	2	1.67	3.67	2	2.33	1
"Cranor, L."	05-836	14	2	3.33	2.33	2.33	2	1.67	3.67	2	2.33	1
Anind Dey	05-837	7	4.67	4.33	4.33	5	4.67	4.67	5	4	4	1
"Dey, A."	05-837	7	4.67	4.33	4.33	5	4.67	4.67	5	4	4	1
Matthew Kam	05-838	9.71	4.2	3.42	3.97	3.51	4.25	4.1	4.13	3.87	3.7	3
"Kam, M."	05-838	9.71	4.2	3.42	3.97	3.51	4.25	4.1	4.13	3.87	3.7	3
"Ogan, A."	05-838	8	4.86	4.71	4.71	4.29	4.86	4.57	5	4.86	4.71	1
Amy Ogan	05-838	8	4.86	4.71	4.71	4.29	4.86	4.57	5	4.86	4.71	1
Jennifer Mankoff	05-839	11.65	4.23	4	4.09	3.9	4.16	3.87	4.37	3.89	3.97	3
"Mankoff, J."	05-839	11.65	4.23	4	4.09	3.9	4.16	3.87	4.37	3.89	3.97	3
John Stamper	05-840	5.75	3.54	3.08	3.08	2.92	2.79	2.71	3.96	3	2.79	2
"Stamper, J."	05-840	5.75	3.54	3.08	3.08	2.92	2.79	2.71	3.96	3	2.79	2
"Kraut, R."	05-841	12.5	3.5	4.5	4	2.5	4	4	4.5	3.5	3	1
Robert Kraut	05-841	12.5	3.5	4.5	4	2.5	4	4	4.5	3.5	3	1
Brad Myers	05-863	11.34	4.13	4.39	4.38	4.03	4.39	4.33	4.44	4.22	4.25	7
"Myers, B."	05-863	11.34	4.13	4.39	4.38	4.03	4.39	4.33	4.44	4.22	4.25	7
"Smailagic, A."	05-872	9.39	4.08	3.7	3.61	3.97	3.57	3.57	4.34	3.89	3.35	6
"Siewiorek, D."	05-872	9.64	4.1	3.53	3.41	3.66	3.39	3.43	4.43	3.62	2.96	6
Christopher Harrison	05-891	10.32	4.81	4.58	4.67	4.49	4.86	4.78	4.8	4.83	4.75	5
Jason Hong	05-891	10.25	4.25	4.25	4.75	4.5	4.5	4.5	4.75	4.5	4.5	2
"Hong, J."	05-891	10.25	4.25	4.25	4.75	4.5	4.5	4.5	4.75	4.5	4.5	2
Anind Dey	05-891	8.22	3.95	3.48	3.38	3.35	4.08	3.83	4.15	3.6	3.62	2
"Dey, A."	05-891	8.22	3.95	3.48	3.38	3.35	4.08	3.83	4.15	3.6	3.62	2
Jodi Forlizzi	05-897	5.63	4.55	4.42	4.6	4.56	4.6	4.37	4.76	4.53	4.32	3
"Forlizzi, J."	05-897	5.63	4.55	4.42	4.6	4.56	4.6	4.37	4.76	4.53	4.32	3
Jennifer Mankoff	05-897	7.25	4.33	3.75	4	3.83	4.75	4.25	4.5	4.17	4	2
"Mankoff, J."	05-897	7.25	4.33	3.75	4	3.83	4.75	4.25	4.5	4.17	4	2
Jeffrey Bigham	05-897	6.5	4	3.5	4	3.5	4.5	4	5	4	4	1
"Bigham, J."	05-897	6.5	4	3.5	4	3.5	4.5	4	5	4	4	1
Jodi Forlizzi	05-898	9.05	4.57	4.29	4.47	4.34	4.46	4.46	4.85	4.44	4.17	2
"Forlizzi, J."	05-898	9.05	4.57	4.29	4.47	4.34	4.46	4.46	4.85	4.44	4.17	2
Jennifer Mankoff	05-898	13.25	3.75	3.42	3.83	4.17	4.17	3.75	3.92	3.67	3.67	2
"Mankoff, J."	05-898	13.25	3.75	3.42	3.83	4.17	4.17	3.75	3.92	3.67	3.67	2
Jason Hong	05-898	4.4	4.4	4	4.4	3.4	4.6	3.8	4.8	4.4	4.8	1
"Hong, J."	05-898	4.4	4.4	4	4.4	3.4	4.6	3.8	4.8	4.4	4.8	1
James Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
"Miller, J."	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
Janel Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
Jennifer Keating-Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
Jessamyn Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
Jill Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
John Miller	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
"Keating-Miller, J."	05-898	8	4	3.5	4	4.5	4.5	4.5	4.5	3.5	3.5	1
Edward Engler	05-899	9.45	4.3	4.15	4.35	4.43	4.58	4.21	4.47	4.16	4.22	6
"Morris, J."	05-899	9.58	4.29	3.82	3.91	3.97	3.98	3.94	4.42	3.98	3.86	5
James Morris	05-899	9.58	4.29	3.82	3.91	3.97	3.98	3.94	4.42	3.98	3.86	5
Jennifer Morris	05-899	9.58	4.29	3.82	3.91	3.97	3.98	3.94	4.42	3.98	3.86	5
Jeffrey Bigham	05-899	8.79	4.49	4.45	4.45	4.15	4.6	4.64	4.8	4.41	4.36	4
"Bigham, J."	05-899	8.79	4.49	4.45	4.45	4.15	4.6	4.64	4.8	4.41	4.36	4
Aniket Kittur	05-899	8.6	4.47	4.03	4.01	3.76	4.25	4.19	4.79	4.29	4.1	4
"Kittur, A."	05-899	8.6	4.47	4.03	4.01	3.76	4.25	4.19	4.79	4.29	4.1	4
Barbara Carryer	05-899	7.45	4.33	4.92	4.7	4.6	4.5	4.42	4.67	4.92	4.58	3
"Carryer, B."	05-899	7.45	4.33	4.92	4.7	4.6	4.5	4.42	4.67	4.92	4.58	3
"Dow, S."	05-899	10.69	4.4	4.14	4.19	4.21	4.3	4.28	4.43	4.19	4.11	3
Steven Dow	05-899	10.69	4.4	4.14	4.19	4.21	4.3	4.28	4.43	4.19	4.11	3
